"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 28 06:42:25 UTC 2024","Sun Apr 28 06:44:57 UTC 2024","151724","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"skipped","Sun Apr 28 06:27:07 UTC 2024","Sun Apr 28 06:27:07 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Apr 28 06:09:03 UTC 2024","Sun Apr 28 06:09:04 UTC 2024","1362","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun Apr 28 06:53:44 UTC 2024","Sun Apr 28 06:53:59 UTC 2024","14284","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Apr 28 06:47:20 UTC 2024","Sun Apr 28 06:51:35 UTC 2024","254886","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Sun Apr 28 06:08:41 UTC 2024","Sun Apr 28 06:08:57 UTC 2024","15235","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"skipped","Sun Apr 28 08:24:31 UTC 2024","Sun Apr 28 08:24:31 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Apr 28 06:41:42 UTC 2024","Sun Apr 28 06:41:44 UTC 2024","2267","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Sun Apr 28 06:54:08 UTC 2024","Sun Apr 28 06:54:11 UTC 2024","2366","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sun Apr 28 07:27:50 UTC 2024","Sun Apr 28 07:27:57 UTC 2024","7163","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Apr 28 06:42:02 UTC 2024","Sun Apr 28 06:42:04 UTC 2024","1442","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Apr 28 06:47:05 UTC 2024","Sun Apr 28 06:47:20 UTC 2024","14675","","18. Check Admin header","","","","1. Log in using manager login",""
"broken","Sun Apr 28 06:27:07 UTC 2024","Sun Apr 28 06:27:07 UTC 2024","2","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"skipped","Sun Apr 28 06:27:07 UTC 2024","Sun Apr 28 06:27:07 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"failed","Sun Apr 28 06:31:03 UTC 2024","Sun Apr 28 06:31:22 UTC 2024","19465","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun Apr 28 06:54:11 UTC 2024","Sun Apr 28 06:54:15 UTC 2024","4230","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Apr 28 06:42:04 UTC 2024","Sun Apr 28 06:42:15 UTC 2024","11237","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"skipped","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Apr 28 06:41:49 UTC 2024","Sun Apr 28 06:41:53 UTC 2024","3725","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"skipped","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Sun Apr 28 06:27:07 UTC 2024","Sun Apr 28 06:27:07 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"skipped","Sun Apr 28 06:27:07 UTC 2024","Sun Apr 28 06:27:07 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"skipped","Sun Apr 28 08:24:31 UTC 2024","Sun Apr 28 08:24:31 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Apr 28 06:42:15 UTC 2024","Sun Apr 28 06:42:25 UTC 2024","9726","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Sun Apr 28 06:06:16 UTC 2024","Sun Apr 28 06:06:32 UTC 2024","15379","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun Apr 28 06:08:57 UTC 2024","Sun Apr 28 06:08:58 UTC 2024","1369","","12. Client Portal - Forms","","","","2. Check Form Page",""
"skipped","Sun Apr 28 08:24:31 UTC 2024","Sun Apr 28 08:24:31 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"skipped","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Apr 28 05:45:18 UTC 2024","Sun Apr 28 05:46:25 UTC 2024","66745","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Apr 28 06:41:53 UTC 2024","Sun Apr 28 06:42:02 UTC 2024","9426","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"skipped","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Apr 28 06:06:50 UTC 2024","Sun Apr 28 06:07:09 UTC 2024","18868","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Sun Apr 28 06:06:32 UTC 2024","Sun Apr 28 06:06:50 UTC 2024","18090","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun Apr 28 06:41:47 UTC 2024","Sun Apr 28 06:41:49 UTC 2024","2002","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Apr 28 06:08:58 UTC 2024","Sun Apr 28 06:09:03 UTC 2024","4882","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Sun Apr 28 06:27:07 UTC 2024","Sun Apr 28 06:27:07 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun Apr 28 07:27:57 UTC 2024","Sun Apr 28 07:28:16 UTC 2024","19484","","21. Forgot password function","","","","2. Reset password",""
"passed","Sun Apr 28 06:53:59 UTC 2024","Sun Apr 28 06:54:08 UTC 2024","9621","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"skipped","Sun Apr 28 08:24:31 UTC 2024","Sun Apr 28 08:24:31 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"broken","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","3","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Sun Apr 28 06:06:50 UTC 2024","Sun Apr 28 06:06:50 UTC 2024","251","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Apr 28 05:47:59 UTC 2024","Sun Apr 28 05:48:13 UTC 2024","14170","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Sun Apr 28 08:24:31 UTC 2024","Sun Apr 28 08:24:31 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"skipped","Sun Apr 28 06:04:10 UTC 2024","Sun Apr 28 06:04:10 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"broken","Sun Apr 28 08:24:31 UTC 2024","Sun Apr 28 08:24:31 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Apr 28 06:41:32 UTC 2024","Sun Apr 28 06:41:42 UTC 2024","9495","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Apr 28 06:41:44 UTC 2024","Sun Apr 28 06:41:47 UTC 2024","2636","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
